              Procedure           Image            Address        Calls Instructions
     LsMatchPresSubline C:\Windows\system32\msls31.dll           689fb311            0           34
 unnamedImageEntryPoint C:\Windows\system32\msls31.dll           689f7568            2          221
   LsdnQueryObjDimRange C:\Windows\system32\msls31.dll           689f6cb7            0          114
                  .text C:\Windows\system32\mshtml.dll           657be667            0           47
                  .text C:\Windows\system32\mshtml.dll           65696741            0           18
        DllCanUnloadNow C:\Windows\system32\mshtml.dll           655f4079            0           11
        ShowModalDialog C:\Windows\system32\mshtml.dll           655da11a            0         1874
                  .text C:\Windows\system32\mshtml.dll           655ad9a7            0            4
                  .text C:\Windows\system32\mshtml.dll           6557cc67            0          297
 unnamedImageEntryPoint C:\Windows\system32\mshtml.dll           6554bf27            2         5073
                  .text C:\Windows\system32\mshtml.dll           65520f9d            0         3569
      DllGetClassObject C:\Windows\system32\mshtml.dll           654f025d            0          568
                  .text C:\Windows\system32\mshtml.dll           654e1000            0         7485
            GetClassURL C:\Windows\system32\urlmon.dll           770be1d6            0           54
    IsIntranetAvailable C:\Windows\system32\urlmon.dll           7705a317            0          469
            Ordinal_114 C:\Windows\system32\urlmon.dll           7705775b            0           56
            Ordinal_108 C:\Windows\system32\urlmon.dll           7704644c            0         2036
            Ordinal_113 C:\Windows\system32\urlmon.dll           77045c76            0          632
CoInternetCreateZoneManager C:\Windows\system32\urlmon.dll           77041e51            0         1586
   CoInternetGetSession C:\Windows\system32\urlmon.dll           77041401            0          326
      GetIDNFlagsForUri C:\Windows\system32\urlmon.dll           7703d65e            0           14
        DllCanUnloadNow C:\Windows\system32\urlmon.dll           7702f890            0        28305
   CoInternetCombineUrl C:\Windows\system32\urlmon.dll           7702f429            0          168
   GetPortFromUrlScheme C:\Windows\system32\urlmon.dll           770252a0            6        21291
   MkParseDisplayNameEx C:\Windows\system32\urlmon.dll           77025135            0           62
  CoInternetCombineIUri C:\Windows\system32\urlmon.dll           77024571            0        12260
        IsDWORDProperty C:\Windows\system32\urlmon.dll           77023b36           94         2554
          CreateUriPriv C:\Windows\system32\urlmon.dll           770235ee            1        20339
  CreateUriWithFragment C:\Windows\system32\urlmon.dll           770235c7            1           15
              CreateUri C:\Windows\system32\urlmon.dll           770235a6            1           11
CoInternetIsFeatureEnabled C:\Windows\system32\urlmon.dll           77022e22            7        22198
 unnamedImageEntryPoint C:\Windows\system32\urlmon.dll           77021b2c           10         1220
                  .text C:\Windows\system32\urlmon.dll           77021000            0         2511
         ASFGetTimeBase C:\Windows\system32\WMASF.DLL           658d2dfa            0            5
 unnamedImageEntryPoint C:\Windows\system32\WMASF.DLL           658d122a            2          212
                  .text C:\Windows\system32\WMASF.DLL           658d1000            0          161
                  .text C:\Windows\system32\WMVCore.DLL           61b5e018            0          210
 unnamedImageEntryPoint C:\Windows\system32\WMVCore.DLL           61acb858            2          838
WMCreateLicenseRevocationAgentPrivate C:\Windows\system32\WMVCore.DLL           61aa5252            0       302816
 WMCreateProfileManager C:\Windows\system32\WMVCore.DLL           61a7e5a2            0           58
 WMCreateWriterPushSink C:\Windows\system32\WMVCore.DLL           61a5ea0d            0          657
WMCreateWriterNetworkSink C:\Windows\system32\WMVCore.DLL           61a54c6e            0           27
   WMIsContentProtected C:\Windows\system32\WMVCore.DLL           619db2ef            0          162
      DllRegisterServer C:\Windows\system32\WMVCore.DLL           619da218            0           10
                  .text C:\Windows\system32\WMVCore.DLL           619c1000            0           30
        DllCanUnloadNow C:\Windows\system32\audiodev.dll           6adf31d3            1            4
      DllGetClassObject C:\Windows\system32\audiodev.dll           6adf2ef5            1           30
 unnamedImageEntryPoint C:\Windows\system32\audiodev.dll           6adf1417            2         1936
                  .text C:\Windows\system32\audiodev.dll           6adf1000            0          134
 unnamedImageEntryPoint C:\Windows\system32\imagehlp.dll           775e12d0           26         6125
                  .text C:\Windows\system32\imagehlp.dll           775e1000            0         1814
      ASN1_CreateModule C:\Windows\system32\MSASN1.dll           755f37e9            6          378
 unnamedImageEntryPoint C:\Windows\system32\MSASN1.dll           755f359e            1           63
       ASN1BERDecU32Val C:\Windows\system32\MSASN1.dll           755f336b            0          102
CertEnumSystemStoreLocation C:\Windows\system32\CRYPT32.dll           7549699a            0         1106
CryptInstallOIDFunctionAddress C:\Windows\system32\CRYPT32.dll           7549632c           32        15321
CryptInitOIDFunctionSet C:\Windows\system32\CRYPT32.dll           754961ef           86       107873
  I_CryptCreateLruCache C:\Windows\system32\CRYPT32.dll           75494c25            1           74
I_CryptInstallAsn1Module C:\Windows\system32\CRYPT32.dll           75494bde            6          144
        I_CryptAllocTls C:\Windows\system32\CRYPT32.dll           75494b6d           10          297
   I_CryptFlushLruCache C:\Windows\system32\CRYPT32.dll           7549495b            3        12986
       I_CryptDetachTls C:\Windows\system32\CRYPT32.dll           75494780           60         1212
